0.320000E+00    0.198802019E+03
0.330000E+00    0.454330696E+02
0.340000E+00   -0.419893811E+02
0.350000E+00   -0.912622578E+02
0.360000E+00   -0.115277865E+03
0.370000E+00   -0.125199683E+03
0.380000E+00   -0.125998328E+03
0.390000E+00   -0.120121102E+03
0.400000E+00   -0.112788342E+03
0.410000E+00   -0.103679659E+03
0.420000E+00   -0.958017266E+02
0.430000E+00   -0.866903323E+02
0.440000E+00   -0.776638539E+02
0.450000E+00   -0.714419458E+02
0.460000E+00   -0.642420530E+02
0.470000E+00   -0.567901561E+02
0.480000E+00   -0.506491242E+02
0.490000E+00   -0.467204126E+02
0.500000E+00   -0.412686701E+02
0.510000E+00   -0.377066762E+02
0.520000E+00   -0.332656756E+02
0.530000E+00   -0.293953946E+02
0.540000E+00   -0.266231949E+02
0.550000E+00   -0.232960952E+02
0.560000E+00   -0.211076466E+02
0.570000E+00   -0.196436896E+02
0.580000E+00   -0.186366576E+02
0.590000E+00   -0.158354591E+02
0.600000E+00   -0.148108467E+02
0.610000E+00   -0.128966911E+02
0.620000E+00   -0.112735559E+02
0.630000E+00   -0.104881553E+02
0.640000E+00   -0.105154217E+02
0.650000E+00   -0.100704325E+02
0.660000E+00   -0.790476796E+01
0.670000E+00   -0.800911584E+01
0.680000E+00   -0.675769975E+01
0.690000E+00   -0.592892105E+01
0.700000E+00   -0.493329304E+01
0.710000E+00   -0.570741620E+01
0.720000E+00   -0.551073806E+01
0.730000E+00   -0.364591052E+01
0.740000E+00   -0.380734211E+01
